False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.014705882352941176,0.9999719858169556
0.0,0.5735294117647058,0.9881614446640015
0.0010351966873706005,0.5735294117647058,0.9870396256446838
0.0010351966873706005,0.6470588235294118,0.9690338373184204
0.0015527950310559005,0.6470588235294118,0.9690248966217041
0.0015527950310559005,0.6617647058823529,0.9688480496406555
0.002070393374741201,0.6617647058823529,0.9646561145782471
0.002070393374741201,0.7352941176470589,0.9405952095985413
0.005175983436853002,0.7352941176470589,0.8852880597114563
0.005175983436853002,0.75,0.884402871131897
0.005693581780538302,0.75,0.8800926208496094
0.005693581780538302,0.7647058823529411,0.873268187046051
0.007246376811594203,0.7647058823529411,0.8598135709762573
0.007246376811594203,0.7794117647058824,0.8533328175544739
0.007763975155279503,0.7794117647058824,0.8267577290534973
0.007763975155279503,0.7941176470588235,0.8156401515007019
0.016045548654244308,0.7941176470588235,0.633470356464386
0.016045548654244308,0.8088235294117647,0.6269397735595703
0.021221532091097308,0.8088235294117647,0.41527777910232544
0.021221532091097308,0.8235294117647058,0.41343954205513
0.022256728778467908,0.8235294117647058,0.3700590431690216
0.022256728778467908,0.8382352941176471,0.3535342216491699
0.024327122153209108,0.8382352941176471,0.3071877062320709
0.024327122153209108,0.8529411764705882,0.28890880942344666
0.028985507246376812,0.8529411764705882,0.2461356222629547
0.028985507246376812,0.8676470588235294,0.24579939246177673
0.04296066252587992,0.8676470588235294,0.10624144971370697
0.04296066252587992,0.8970588235294118,0.10453968495130539
0.11335403726708075,0.8970588235294118,0.010781800374388695
0.11335403726708075,0.9264705882352942,0.010385911911725998
0.1915113871635611,0.9264705882352942,0.0033621101174503565
0.1915113871635611,0.9411764705882353,0.0033506557811051607
0.23809523809523808,0.9411764705882353,0.0021332865580916405
0.23809523809523808,0.9558823529411765,0.002132904017344117
0.28467908902691513,0.9558823529411765,0.0013797034043818712
0.28467908902691513,0.9705882352941176,0.0013783166650682688
0.4932712215320911,0.9705882352941176,0.00029416123288683593
0.4932712215320911,0.9852941176470589,0.00029327356605790555
0.65527950310559,0.9852941176470589,0.00011090690532000735
0.65527950310559,1.0,0.00011039726814487949
1.0,1.0,5.099349209558568e-07
